CustomerID,Recency,Frequency,Monetary,LastPurchaseDate,MonthsWithPurchases,Recency_score,Recency_range,Frequency_score,Frequency_range,Monetary_score,Monetary_range,Final_Score,Business_Category,CutoffDate
12346,326,1,77183.6,2024-01-18 10:01:00,1,1,"(159.0, 374.001)",1,"(0.999, 8.999)",5,"(1005.0500000000002, 173369.02099999998)",115,Abandonador,2024-12-10
12747,2,89,3820.29,2024-12-07 14:34:00,9,5,"(-0.001, 11.999)",5,"(59.0, 4258.001)",5,"(1005.0500000000002, 173369.02099999998)",555,Platino,2024-12-10
12748,0,2791,25760.36,2024-12-09 12:20:00,13,5,"(-0.001, 11.999)",5,"(59.0, 4258.001)",5,"(1005.0500000000002, 173369.02099999998)",555,Platino,2024-12-10
12749,3,118,2616.57,2024-12-06 09:56:00,4,5,"(-0.001, 11.999)",5,"(59.0, 4258.001)",5,"(1005.0500000000002, 173369.02099999998)",555,Platino,2024-12-10
12820,3,38,623.16,2024-12-06 15:12:00,4,5,"(-0.001, 11.999)",4,"(31.0, 58.999)",4,"(538.29, 1005.0490000000002)",544,Platino,2024-12-10
12821,214,5,82.52,2024-05-09 15:51:00,1,1,"(159.0, 374.001)",1,"(0.999, 8.999)",1,"(-0.001, 168.80100000000004)",111,Abandonador,2024-12-10
12822,70,27,628.98,2024-09-30 10:04:00,1,2,"(65.0, 158.999)",3,"(18.0, 30.999)",4,"(538.29, 1005.0490000000002)",234,Bronce,2024-12-10
12823,74,5,1759.5,2024-09-26 07:35:00,4,2,"(65.0, 158.999)",1,"(0.999, 8.999)",5,"(1005.0500000000002, 173369.02099999998)",215,Ocasional,2024-12-10
12824,59,14,260.5,2024-10-11 12:49:00,1,3,"(31.0, 64.999)",2,"(9.0, 17.999)",2,"(168.80200000000005, 305.36300000000006)",322,Bronce,2024-12-10
12826,2,45,698.27,2024-12-07 10:25:00,6,5,"(-0.001, 11.999)",4,"(31.0, 58.999)",4,"(538.29, 1005.0490000000002)",544,Platino,2024-12-10
12827,5,21,355.75,2024-12-04 12:17:00,3,5,"(-0.001, 11.999)",3,"(18.0, 30.999)",3,"(305.36400000000003, 538.289)",533,Plata,2024-12-10
12828,2,47,855.51,2024-12-07 08:45:00,4,5,"(-0.001, 11.999)",4,"(31.0, 58.999)",4,"(538.29, 1005.0490000000002)",544,Platino,2024-12-10
12829,337,10,277.1,2024-01-07 11:13:00,2,1,"(159.0, 374.001)",2,"(9.0, 17.999)",2,"(168.80200000000005, 305.36300000000006)",122,Bronce,2024-12-10
12830,37,25,5593.52,2024-11-02 11:54:00,4,3,"(31.0, 64.999)",3,"(18.0, 30.999)",5,"(1005.0500000000002, 173369.02099999998)",335,Plata,2024-12-10
12831,262,8,199.75,2024-03-22 13:02:00,1,1,"(159.0, 374.001)",1,"(0.999, 8.999)",2,"(168.80200000000005, 305.36300000000006)",112,Abandonador,2024-12-10
12832,32,18,253.63,2024-11-07 13:30:00,2,3,"(31.0, 64.999)",3,"(18.0, 30.999)",2,"(168.80200000000005, 305.36300000000006)",332,Ocasional,2024-12-10
12833,145,21,352.74,2024-07-17 13:46:00,1,2,"(65.0, 158.999)",3,"(18.0, 30.999)",3,"(305.36400000000003, 538.289)",233,Bronce,2024-12-10
12834,282,9,154.68,2024-03-02 09:49:00,1,1,"(159.0, 374.001)",2,"(9.0, 17.999)",1,"(-0.001, 168.80100000000004)",121,Abandonador,2024-12-10
12836,59,115,1970.8,2024-10-11 15:10:00,4,3,"(31.0, 64.999)",5,"(59.0, 4258.001)",5,"(1005.0500000000002, 173369.02099999998)",355,Oro,2024-12-10
12837,173,10,117.3,2024-06-19 16:07:00,1,1,"(159.0, 374.001)",2,"(9.0, 17.999)",1,"(-0.001, 168.80100000000004)",121,Abandonador,2024-12-10
12838,33,69,475.74,2024-11-06 12:20:00,2,3,"(31.0, 64.999)",5,"(59.0, 4258.001)",3,"(305.36400000000003, 538.289)",353,Oro,2024-12-10
12839,2,185,3650.4,2024-12-07 12:33:00,10,5,"(-0.001, 11.999)",5,"(59.0, 4258.001)",5,"(1005.0500000000002, 173369.02099999998)",555,Platino,2024-12-10
12840,143,43,971.3199999999999,2024-07-19 09:29:00,4,2,"(65.0, 158.999)",4,"(31.0, 58.999)",4,"(538.29, 1005.0490000000002)",244,Plata,2024-12-10
12841,4,336,3538.91,2024-12-05 11:13:00,13,5,"(-0.001, 11.999)",5,"(59.0, 4258.001)",5,"(1005.0500000000002, 173369.02099999998)",555,Platino,2024-12-10
12842,70,23,836.45,2024-09-30 15:33:00,2,2,"(65.0, 158.999)",3,"(18.0, 30.999)",4,"(538.29, 1005.0490000000002)",234,Bronce,2024-12-10
12843,65,83,1410.86,2024-10-05 12:09:00,5,2,"(65.0, 158.999)",5,"(59.0, 4258.001)",5,"(1005.0500000000002, 173369.02099999998)",255,Plata,2024-12-10
12844,29,40,260.61,2024-11-10 13:31:00,2,4,"(12.0, 30.999)",4,"(31.0, 58.999)",2,"(168.80200000000005, 305.36300000000006)",442,Plata,2024-12-10
12845,267,16,320.24,2024-03-17 13:34:00,2,1,"(159.0, 374.001)",2,"(9.0, 17.999)",3,"(305.36400000000003, 538.289)",123,Abandonador,2024-12-10
12847,22,52,575.64,2024-11-17 13:16:00,1,4,"(12.0, 30.999)",4,"(31.0, 58.999)",4,"(538.29, 1005.0490000000002)",444,Oro,2024-12-10
12849,31,38,819.8399999999999,2024-11-08 13:41:00,2,3,"(31.0, 64.999)",4,"(31.0, 58.999)",4,"(538.29, 1005.0490000000002)",344,Oro,2024-12-10
12851,96,34,105.31,2024-09-04 12:41:00,1,2,"(65.0, 158.999)",4,"(31.0, 58.999)",1,"(-0.001, 168.80100000000004)",241,Bronce,2024-12-10
