CustomerID,Recency,Frequency,Monetary,LastPurchaseDate,MonthsWithPurchases,Recency_score,Recency_range,Frequency_score,Frequency_range,Monetary_score,Monetary_range,Final_Score,Business_Category,CutoffDate
12346,326,1,1.04,2024-01-18 10:01:00,1,1,"(236.0, 374.001)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",121,Abandonador,2024-12-10
12747,2,11,420.65999999999997,2024-12-07 14:34:00,9,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",5,"(319.69, 18543.791)",555,Platino,2024-12-10
12748,0,211,8684.15,2024-12-09 12:20:00,13,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",5,"(319.69, 18543.791)",555,Platino,2024-12-10
12749,3,5,651.89,2024-12-06 09:56:00,4,5,"(-0.001, 39.999)",4,"(5.0, 7.999)",5,"(319.69, 18543.791)",545,Platino,2024-12-10
12820,3,4,82.63,2024-12-06 15:12:00,4,5,"(-0.001, 39.999)",3,"(3.0, 4.999)",2,"(55.879999999999995, 123.979)",532,Plata,2024-12-10
12821,214,1,14.14,2024-05-09 15:51:00,1,2,"(162.0, 235.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",221,Ocasional,2024-12-10
12822,70,2,86.94,2024-09-30 10:04:00,1,4,"(40.0, 95.999)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",422,Bronce,2024-12-10
12823,74,5,38.25,2024-09-26 07:35:00,4,4,"(40.0, 95.999)",4,"(5.0, 7.999)",1,"(-0.001, 55.879)",441,Bronce,2024-12-10
12824,59,1,42.21,2024-10-11 12:49:00,1,4,"(40.0, 95.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",421,Ocasional,2024-12-10
12826,2,7,98.91,2024-12-07 10:25:00,6,5,"(-0.001, 39.999)",4,"(5.0, 7.999)",2,"(55.879999999999995, 123.979)",542,Plata,2024-12-10
12827,5,3,55.6,2024-12-04 12:17:00,3,5,"(-0.001, 39.999)",3,"(3.0, 4.999)",1,"(-0.001, 55.879)",531,Bronce,2024-12-10
12828,2,6,147.24,2024-12-07 08:45:00,4,5,"(-0.001, 39.999)",4,"(5.0, 7.999)",3,"(123.98, 211.349)",543,Oro,2024-12-10
12829,337,2,106.1,2024-01-07 11:13:00,2,1,"(236.0, 374.001)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",122,Bronce,2024-12-10
12830,37,6,28.37,2024-11-02 11:54:00,4,5,"(-0.001, 39.999)",4,"(5.0, 7.999)",1,"(-0.001, 55.879)",541,Bronce,2024-12-10
12831,262,1,25.05,2024-03-22 13:02:00,1,1,"(236.0, 374.001)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",121,Abandonador,2024-12-10
12832,32,2,62.63,2024-11-07 13:30:00,2,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",522,Plata,2024-12-10
12833,145,1,116.0,2024-07-17 13:46:00,1,3,"(96.0, 161.999)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",322,Bronce,2024-12-10
12834,282,1,30.240000000000002,2024-03-02 09:49:00,1,1,"(236.0, 374.001)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",121,Abandonador,2024-12-10
